Year,Annual Mean Temperature
1901,24.814199447631836
1902,24.922399520874023
1903,24.440399169921875
1904,24.420700073242188
1905,24.175500869750977
1906,24.576000213623047
1907,24.383800506591797
1908,24.454299926757812
1909,24.338300704956055
1910,24.278499603271484
1911,24.571699142456055
1912,24.65410041809082
1913,24.34320068359375
1914,24.478300094604492
1915,24.895000457763672
1916,24.50349998474121
1917,23.79840087890625
1918,24.40410041809082
1919,24.51689910888672
1920,24.572500228881836
1921,24.880699157714844